Gender,Seniorcitizen,Partner,Dependents,Tenure,Phoneservice,Multiplelines,Internetservice,Onlinesecurity,Onlinebackup,Deviceprotection,Techsupport,Streamingtv,Streamingmovies,Contract,Paperlessbilling,Paymentmethod,Monthlycharges,Totalcharges,Churn,Churn_Numeric,Num_Internet_Services
Male,0,No,Yes,1,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,No,Yes,Month-To-Month,No,Credit Card (Automatic),29.42,5.94106558952413,Yes,1.0,5
Female,0,No,Yes,3,Yes,No,No,No,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,102.77,8.520539585987011,Yes,1.0,3
Male,0,Yes,Yes,44,Yes,No,Dsl,Yes,No,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,54.74,6.686946499964646,Yes,1.0,3
Male,0,Yes,No,12,Yes,No,Dsl,Yes,Yes,Yes,No,No,Yes,Month-To-Month,No,Mailed Check,80.95,8.453499113635994,Yes,1.0,4
Male,0,Yes,Yes,54,Yes,No,Dsl,Yes,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,50.07,7.929554915503927,No,0.0,5
Female,0,Yes,No,31,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Mailed Check,57.49,8.12027941621783,No,0.0,5
Male,0,Yes,No,21,Yes,Yes,Dsl,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Electronic Check,48.35,7.663468724560535,No,0.0,4
Male,0,No,Yes,54,Yes,Yes,Dsl,No,Yes,No,Yes,No,Yes,Two Year,Yes,Bank Transfer (Automatic),40.53,5.419871062100613,No,0.0,3
Male,0,Yes,No,16,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card (Automatic),56.21,7.381601515945323,No,0.0,2
Female,0,No,Yes,69,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),106.54,6.819109840367987,No,0.0,5
Male,0,Yes,Yes,50,Yes,No,Dsl,No,Yes,No,Yes,No,Yes,Month-To-Month,Yes,Credit Card (Automatic),28.16,6.757653059734743,Yes,1.0,3
Male,0,Yes,Yes,7,Yes,No,Fiber Optic,No,No,No,No,Yes,No,One Year,No,Mailed Check,21.11,7.2138419431100225,No,0.0,1
Male,0,Yes,No,60,Yes,No,Dsl,Yes,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),43.6,6.978502610503611,Yes,1.0,4
Male,0,No,Yes,9,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-To-Month,No,Mailed Check,104.68,8.06627036038329,Yes,1.0,4
Female,0,No,Yes,18,Yes,No,Dsl,No,No,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),113.03,8.72897160350775,Yes,1.0,1
Male,0,No,Yes,13,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,One Year,Yes,Credit Card (Automatic),101.29,7.498182897937567,No,0.0,2
Female,1,Yes,No,66,No,Yes,Dsl,Yes,No,No,Yes,Yes,No,Two Year,No,Electronic Check,23.78,7.260262550225524,No,0.0,3
Female,1,Yes,No,54,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),39.54,7.925605712563296,No,0.0,5
Female,0,Yes,No,60,Yes,No,Dsl,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,52.96,8.207660796570956,Yes,1.0,4
Male,0,Yes,No,55,Yes,Yes,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,88.35,5.81758723709669,No,0.0,2
Female,0,Yes,Yes,62,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),52.73,7.516960911257556,No,0.0,3
Male,0,Yes,Yes,10,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Month-To-Month,No,Credit Card (Automatic),69.44,7.086219405448787,No,0.0,2
Female,0,No,No,46,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,No,Bank Transfer (Automatic),24.08,3.8152918164683745,No,0.0,4
Female,0,No,Yes,5,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,Yes,Electronic Check,23.69,6.606204140788805,No,0.0,2
Female,0,Yes,No,33,Yes,No,Dsl,No,No,No,Yes,No,Yes,One Year,No,Electronic Check,93.21,8.43731197070298,No,0.0,2
Female,0,No,Yes,64,Yes,Yes,No,Yes,No,Yes,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),30.51,4.462799844696365,Yes,1.0,2
Female,0,No,Yes,63,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-To-Month,No,Mailed Check,47.56,7.582982858239132,Yes,1.0,4
Female,0,No,No,65,No,Yes,Dsl,Yes,No,No,Yes,No,No,Month-To-Month,No,Electronic Check,20.48,4.804594650681708,Yes,1.0,2
Female,0,Yes,No,30,No,No,No,Yes,Yes,Yes,No,No,No,Month-To-Month,No,Credit Card (Automatic),74.88,8.147021865381097,No,0.0,3
Female,0,Yes,Yes,61,Yes,Yes,No,No,Yes,No,No,No,No,Month-To-Month,Yes,Mailed Check,74.34,7.886829242373996,No,0.0,1
Male,0,Yes,No,53,Yes,Yes,Dsl,No,Yes,No,No,No,No,One Year,Yes,Credit Card (Automatic),64.63,8.055313275277724,No,0.0,1
Male,0,Yes,Yes,7,Yes,No,Dsl,No,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,98.68,6.7580364307321945,Yes,1.0,1
Female,0,No,Yes,41,Yes,No,Dsl,Yes,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),58.38,7.965653206226231,No,0.0,5
Female,1,Yes,Yes,40,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),44.8,6.742680143996653,Yes,1.0,4
Female,0,Yes,Yes,58,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,Two Year,No,Mailed Check,53.47,4.160600357999166,No,0.0,2
Male,1,Yes,No,39,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,89.07,8.642637471318137,No,0.0,2
