Gender,Seniorcitizen,Partner,Dependents,Tenure,Phoneservice,Multiplelines,Internetservice,Onlinesecurity,Onlinebackup,Deviceprotection,Techsupport,Streamingtv,Streamingmovies,Contract,Paperlessbilling,Paymentmethod,Monthlycharges,Totalcharges,Num_Internet_Services
Female,0,Yes,Yes,4,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,85.83,8.408935148644899,5
Female,0,Yes,Yes,24,Yes,No,No,No,No,Yes,Yes,No,No,Month-To-Month,Yes,Mailed Check,70.02,7.744803649486858,2
Male,0,Yes,No,43,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Two Year,No,Mailed Check,40.98,6.669967522804199,4
Male,0,Yes,No,59,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,Month-To-Month,Yes,Electronic Check,62.35,7.717698341455829,2
Female,0,No,No,34,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,Two Year,No,Mailed Check,62.33,7.989458749247333,2
Female,0,No,No,14,Yes,Yes,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,116.54,8.243882027686197,2
Male,0,No,Yes,35,No,No,No,No,No,No,Yes,Yes,No,One Year,Yes,Bank Transfer (Automatic),30.07,7.590473264051543,2
Male,0,Yes,No,18,Yes,Yes,Dsl,No,No,Yes,Yes,No,Yes,Month-To-Month,No,Electronic Check,114.42,8.167873984730281,3
Female,0,No,Yes,40,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Mailed Check,30.56,7.351273752491576,4
Female,0,Yes,No,28,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,One Year,No,Mailed Check,44.94,7.734178194488965,3
Male,0,No,Yes,34,Yes,Yes,Dsl,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Electronic Check,59.21,7.919552535020165,5
Female,1,Yes,Yes,7,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Two Year,No,Electronic Check,117.04,8.964597110173296,2
Male,0,Yes,No,58,Yes,Yes,Dsl,No,Yes,No,No,Yes,No,One Year,Yes,Electronic Check,90.26,8.51041627993721,2
Female,0,Yes,No,29,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),58.95,4.9764578422946695,5
Female,0,No,No,61,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,One Year,No,Electronic Check,56.15,6.769676419428122,2
Male,0,Yes,No,40,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),86.83,6.01109559105713,4
Male,0,Yes,No,23,Yes,No,Dsl,No,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,48.6,7.21267787581632,4
Female,1,No,Yes,12,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Two Year,Yes,Mailed Check,106.21,8.564057693163521,3
Male,0,Yes,No,39,No,No,Dsl,No,Yes,No,Yes,No,No,Month-To-Month,No,Mailed Check,89.74,8.52485178934351,2
Male,0,No,Yes,12,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,No,Credit Card (Automatic),68.15,6.091264632185159,3
Male,1,No,No,51,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,26.67,6.844144327518774,3
Female,0,No,Yes,1,No,Yes,Dsl,No,No,Yes,No,No,Yes,Month-To-Month,No,Mailed Check,41.59,7.203063200593359,2
Female,1,No,No,27,Yes,Yes,Dsl,No,Yes,Yes,Yes,No,No,Two Year,Yes,Electronic Check,107.99,7.521209690632833,3
Female,1,Yes,No,49,Yes,Yes,Dsl,Yes,No,Yes,No,No,Yes,Two Year,No,Electronic Check,46.83,6.544702899505579,3
Male,0,Yes,Yes,16,Yes,No,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,No,Electronic Check,39.75,7.954319602605504,2
Female,0,Yes,No,4,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,76.36,7.214290999179641,3
Male,0,Yes,Yes,63,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,75.78,8.481557723583283,4
Male,0,Yes,No,29,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Two Year,Yes,Electronic Check,73.19,8.049685644363784,2
Male,0,Yes,No,41,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,48.98,8.037737027396304,4
Female,0,Yes,No,65,Yes,No,No,Yes,Yes,No,No,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),112.31,8.401885589344424,3
Male,0,Yes,No,14,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),119.68,8.629002866468243,5
Male,0,No,Yes,34,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Two Year,No,Electronic Check,55.74,6.749181498317228,2
Female,0,No,No,4,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,Yes,Electronic Check,50.21,8.164165872511504,2
Female,0,Yes,Yes,38,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Electronic Check,89.64,8.038324785889703,4
Male,0,No,No,56,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Two Year,Yes,Electronic Check,21.19,7.214585352744549,2
Female,0,Yes,Yes,39,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,Two Year,Yes,Electronic Check,84.44,7.987616187600004,2
Female,0,Yes,Yes,40,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,One Year,No,Electronic Check,100.18,6.949089142475114,1
Female,0,Yes,No,3,Yes,Yes,Dsl,Yes,No,No,No,No,No,Two Year,Yes,Credit Card (Automatic),36.14,6.875903349532955,1
Female,0,No,No,69,No,Yes,Fiber Optic,No,No,Yes,No,No,No,One Year,Yes,Electronic Check,75.83,8.036495787031102,1
Male,0,No,Yes,62,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,78.77,7.720643576904627,2
Female,1,Yes,No,57,Yes,No,Dsl,No,Yes,Yes,No,Yes,No,Month-To-Month,No,Bank Transfer (Automatic),109.12,8.016634680006025,3
Male,1,No,Yes,23,Yes,Yes,Dsl,Yes,Yes,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,66.57,8.156765500436748,3
Male,0,Yes,Yes,42,Yes,No,Dsl,No,Yes,No,No,Yes,No,Month-To-Month,No,Mailed Check,86.17,7.875130683483836,2
Female,0,No,Yes,29,Yes,No,Fiber Optic,No,Yes,No,No,No,No,One Year,No,Bank Transfer (Automatic),105.71,8.911133476475342,1
Male,1,Yes,Yes,0,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Two Year,Yes,Electronic Check,30.9,7.554795691841832,4
Male,0,Yes,No,21,Yes,Yes,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,No,Electronic Check,36.59,7.812463188213212,2
Female,0,Yes,No,54,Yes,No,Dsl,No,No,No,No,No,Yes,Month-To-Month,No,Bank Transfer (Automatic),70.27,5.99655158615654,1
Male,0,Yes,Yes,57,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Two Year,No,Bank Transfer (Automatic),107.47,7.435131188085743,3
Male,0,Yes,No,54,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Credit Card (Automatic),108.86,8.31463872276698,4
Male,0,Yes,Yes,62,No,Yes,Dsl,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),47.84,8.025189321890835,4
