customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,No,Yes,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),29.42,379.34,Yes
CUST00002,Female,0,No,Yes,3,Yes,No phone service,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,102.77,5015.76,Yes
CUST00003,Male,0,Yes,Yes,44,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,54.74,800.87,Yes
CUST00004,Male,0,Yes,No,12,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,80.95,4690.46,Yes
CUST00005,Male,0,Yes,Yes,54,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.07,2777.19,No
CUST00006,Female,0,Yes,No,31,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,57.49,3360.96,No
CUST00007,Male,0,Yes,No,21,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,48.35,2128.13,No
CUST00008,Male,0,No,Yes,54,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),40.53,224.85,No
CUST00009,Male,0,Yes,No,16,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),56.21,1605.16,No
CUST00010,Female,0,No,Yes,69,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),106.54,914.17,No
CUST00011,Male,0,Yes,Yes,50,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),28.16,859.62,Yes
CUST00012,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,One year,No,Mailed check,21.11,1357.1,No
CUST00013,Male,0,Yes,No,60,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),43.6,1072.31,Yes
CUST00014,Male,0,No,Yes,9,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,104.68,3184.2,Yes
CUST00015,Female,0,No,Yes,18,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),113.03,6178.37,Yes
CUST00016,Male,0,No,Yes,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),101.29,1803.76,No
CUST00017,Female,1,Yes,No,66,No,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,23.78,1421.63,No
CUST00018,Female,1,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),39.54,2766.24,No
CUST00019,Female,0,Yes,No,60,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,52.96,3667.95,Yes
CUST00020,Male,0,Yes,No,55,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,88.35,335.16,No
CUST00021,Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),52.73,1837.97,No
CUST00022,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),69.44,1194.38,No
CUST00023,Female,0,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),24.08,44.39,No
CUST00024,Female,0,No,Yes,5,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,One year,Yes,Electronic check,23.69,738.67,No
CUST00025,Female,0,Yes,No,33,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,93.21,4615.13,No
CUST00026,Female,0,No,Yes,64,Yes,Yes,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),30.51,85.73,Yes
CUST00027,Female,0,No,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,47.56,1963.48,Yes
CUST00028,Female,0,No,No,65,No,Yes,DSL,Yes,No,No,Yes,No,No internet service,Month-to-month,No,Electronic check,20.48,121.07,Yes
CUST00029,Female,0,Yes,No,30,No,No,No,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),74.88,3452.08,No
CUST00030,Female,0,Yes,Yes,61,Yes,Yes,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,74.34,2660.99,No
CUST00031,Male,0,Yes,No,53,Yes,Yes,DSL,No,Yes,No,No internet service,No,No,One year,Yes,Credit card (automatic),64.63,3149.49,No
CUST00032,Male,0,Yes,Yes,7,Yes,No,DSL,No,No,No,No,No internet service,Yes,Month-to-month,No,Electronic check,98.68,859.95,Yes
CUST00033,Female,0,No,Yes,41,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.38,2879.31,No
CUST00034,Female,1,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),44.8,846.83,Yes
CUST00035,Female,0,Yes,Yes,58,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Two year,No,Mailed check,53.47,63.11,No
CUST00036,Male,1,Yes,No,39,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,89.07,5667.26,No
CUST00037,Female,1,No,Yes,21,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),114.76,3135.83,No
CUST00038,Male,0,No,Yes,23,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),90.48,6000.31,Yes
CUST00039,Male,0,No,Yes,37,Yes,No,DSL,Yes,No,No,Yes,No internet service,Yes,Two year,No,Electronic check,119.16,4548.93,No
CUST00040,Male,0,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.65,909.64,Yes
CUST00041,Male,1,No,Yes,40,Yes,No phone service,No,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,114.72,6109.85,No
CUST00042,Male,0,Yes,No,18,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,34.16,2373.27,Yes
CUST00043,Female,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,43.8,2213.88,Yes
CUST00044,Female,0,No,No,61,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Two year,Yes,Mailed check,86.07,5488.68,No
CUST00045,Female,0,Yes,No,15,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,68.9,776.21,No
CUST00046,Female,0,Yes,No,21,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),56.36,613.14,Yes
CUST00047,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),55.5,245.72,No
CUST00048,Male,0,No,No,55,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Two year,Yes,Electronic check,50.13,1678.1,No
CUST00049,Female,1,Yes,Yes,64,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),101.1,1829.54,Yes
CUST00050,Female,0,No,Yes,44,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,55.48,3230.94,No
CUST00051,Male,1,Yes,No,53,Yes,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,27.69,301.51,Yes
CUST00052,Female,0,No,No,65,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,35.11,2489.96,No
CUST00053,Male,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,69.42,3297.0,No
CUST00054,Female,0,No,Yes,32,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,32.76,749.64,Yes
CUST00055,Male,0,No,No,49,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),103.25,7131.12,No
CUST00056,Female,0,Yes,Yes,21,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,111.48,6054.22,No
CUST00057,Female,0,Yes,Yes,39,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,26.61,193.28,No
CUST00058,Male,0,No,No,38,Yes,No,DSL,No,No,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,107.14,6913.4,No
CUST00059,Male,1,Yes,Yes,40,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Electronic check,88.64,4138.76,No
CUST00060,Male,1,No,No,67,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,52.54,852.06,Yes
CUST00061,Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.23,108.94,Yes
CUST00062,Male,0,Yes,No,70,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,60.55,3500.95,Yes
CUST00063,Male,0,No,Yes,3,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,79.96,2721.23,No
CUST00064,Male,0,No,No,58,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,One year,Yes,Mailed check,44.06,414.07,No
CUST00065,Male,1,Yes,Yes,25,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,108.02,4654.81,No
CUST00066,Female,0,No,No,30,Yes,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,22.78,1324.41,Yes
CUST00067,Female,0,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,27.03,1281.94,No
CUST00068,Male,1,Yes,No,51,No,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,67.72,4054.24,No
CUST00069,Female,0,Yes,No,71,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,54.28,2561.37,No
CUST00070,Female,0,No,No,20,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,51.14,3681.24,Yes
CUST00071,Female,0,No,Yes,15,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,65.65,1927.98,Yes
CUST00072,Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,77.35,1025.9,Yes
